Kernel:linear | Gamma:1e-06 e C:10 | Accuracy: 42.11% | channel: ['E112']| count: 5
Kernel:rbf | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E112']| count: 6

Kernel:linear | Gamma:1 e C:1 | Accuracy: 47.37% | channel: ['E113']| count: 1
Kernel:linear | Gamma:1e-06 e C:100 | Accuracy: 42.11% | channel: ['E113']| count: 2
Kernel:linear | Gamma:0.1 e C:1 | Accuracy: 42.11% | channel: ['E113']| count: 3
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 47.37% | channel: ['E113']| count: 4

Kernel:sigmoid | Gamma:0.1 e C:0.1 | Accuracy: 42.11% | channel: ['E114']| count: 1
Kernel:sigmoid | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E114']| count: 2

Kernel:sigmoid | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E115']| count: 1

Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E116']| count: 1
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 42.11% | channel: ['E116']| count: 2

Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 42.11% | channel: ['E117']| count: 1
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E117']| count: 2
Kernel:linear | Gamma:1e-05 e C:1 | Accuracy: 42.11% | channel: ['E117']| count: 3
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 42.11% | channel: ['E117']| count: 4
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 42.11% | channel: ['E117']| count: 5
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 44.74% | channel: ['E117']| count: 6
Kernel:poly | Gamma:10 e C:0.1 | Accuracy: 42.11% | channel: ['E117']| count: 7
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 42.11% | channel: ['E117']| count: 8
Kernel:sigmoid | Gamma:1e-06 e C:10 | Accuracy: 42.11% | channel: ['E117']| count: 9
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 42.11% | channel: ['E117']| count: 10
Kernel:sigmoid | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E117']| count: 11
Kernel:linear | Gamma:1e-06 e C:10 | Accuracy: 42.11% | channel: ['E117']| count: 12
Kernel:sigmoid | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E117']| count: 13

Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 47.37% | channel: ['E118']| count: 1
Kernel:sigmoid | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 2
Kernel:sigmoid | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 3
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 47.37% | channel: ['E118']| count: 4
Kernel:linear | Gamma:10 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 5
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 44.74% | channel: ['E118']| count: 6
Kernel:sigmoid | Gamma:0.1 e C:1000 | Accuracy: 44.74% | channel: ['E118']| count: 7
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 8
Kernel:sigmoid | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 9
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 10
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 11
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 42.11% | channel: ['E118']| count: 12
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 47.37% | channel: ['E118']| count: 13
